employee_id,first_name,last_name,email,phone_number,hire_date,job_id,salary,commission_pct,manager_id,department_id
100,Steven,King,SKING,515.123.4567,2025-06-03,AD_PRES,24000.0000, - , - ,90
101,Neena,Kochhar,NKOCHHAR,515.123.4568,2025-06-03,AD_VP,17000.0000, - ,100,90
102,Lex,De Haan,LDEHAAN,515.123.4569,2025-06-03,AD_VP,17000.0000, - ,100,90
103,Alexander,Hunold,AHUNOLD,590.423.4567,2025-06-03,IT_PROG,9000.0000, - ,102,60
104,Bruce,Ernst,BERNST,590.423.4568,2025-06-03,IT_PROG,6000.0000, - ,103,60
105,David,Austin,DAUSTIN,590.423.4569,2025-06-03,IT_PROG,4800.0000, - ,103,60
106,Valli,Pataballa,VPATABAL,590.423.4560,2025-06-03,IT_PROG,4800.0000, - ,103,60
107,Diana,Lorentz,DLORENTZ,590.423.5567,2025-06-03,IT_PROG,4200.0000, - ,103,60
108,Nancy,Greenberg,NGREENBE,515.124.4569,2025-06-03,FI_MGR,12008.0000, - ,101,100
109,Daniel,Faviet,DFAVIET,515.124.4169,2025-06-03,FI_ACCOUNT,9000.0000, - ,108,100
110,John,Chen,JCHEN,515.124.4269,2025-06-03,FI_ACCOUNT,8200.0000, - ,108,100
111,Ismael,Sciarra,ISCIARRA,515.124.4369,2025-06-03,FI_ACCOUNT,7700.0000, - ,108,100
112,Jose Manuel,Urman,JMURMAN,515.124.4469,2025-06-03,FI_ACCOUNT,7800.0000, - ,108,100
113,Luis,Popp,LPOPP,515.124.4567,2025-06-03,FI_ACCOUNT,6900.0000, - ,108,100
114,Den,Raphaely,DRAPHEAL,515.127.4561,2025-06-03,PU_MAN,11000.0000, - ,100,30
115,Alexander,Khoo,AKHOO,515.127.4562,2025-06-03,PU_CLERK,3100.0000, - ,114,30
116,Shelli,Baida,SBAIDA,515.127.4563,2025-06-03,PU_CLERK,2900.0000, - ,114,30
117,Sigal,Tobias,STOBIAS,515.127.4564,2025-06-03,PU_CLERK,2800.0000, - ,114,30
118,Guy,Himuro,GHIMURO,515.127.4565,2025-06-03,PU_CLERK,2600.0000, - ,114,30
119,Karen,Colmenares,KCOLMENA,515.127.4566,2025-06-03,PU_CLERK,2500.0000, - ,114,30
120,Matthew,Weiss,MWEISS,650.123.1234,2025-06-03,ST_MAN,8000.0000, - ,100,50
121,Adam,Fripp,AFRIPP,650.123.2234,2025-06-03,ST_MAN,8200.0000, - ,100,50
122,Payam,Kaufling,PKAUFLIN,650.123.3234,2025-06-03,ST_MAN,7900.0000, - ,100,50
123,Shanta,Vollman,SVOLLMAN,650.123.4234,2025-06-03,ST_MAN,6500.0000, - ,100,50
124,Kevin,Mourgos,KMOURGOS,650.123.5234,2025-06-03,ST_MAN,5800.0000, - ,100,50
125,Julia,Nayer,JNAYER,650.124.1214,2025-06-03,ST_CLERK,3200.0000, - ,120,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,2025-06-03,ST_CLERK,2700.0000, - ,120,50
127,James,Landry,JLANDRY,650.124.1334,2025-06-03,ST_CLERK,2400.0000, - ,120,50
128,Steven,Markle,SMARKLE,650.124.1434,2025-06-03,ST_CLERK,2200.0000, - ,120,50
129,Laura,Bissot,LBISSOT,650.124.5234,2025-06-03,ST_CLERK,3300.0000, - ,121,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,2025-06-03,ST_CLERK,2800.0000, - ,121,50
131,James,Marlow,JAMRLOW,650.124.7234,2025-06-03,ST_CLERK,2500.0000, - ,121,50
132,TJ,Olson,TJOLSON,650.124.8234,2025-06-03,ST_CLERK,2100.0000, - ,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,2025-06-03,ST_CLERK,3300.0000, - ,122,50
134,Michael,Rogers,MROGERS,650.127.1834,2025-06-03,ST_CLERK,2900.0000, - ,122,50
135,Ki,Gee,KGEE,650.127.1734,2025-06-03,ST_CLERK,2400.0000, - ,122,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,2025-06-03,ST_CLERK,2200.0000, - ,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,2025-06-03,ST_CLERK,3600.0000, - ,123,50
138,Stephen,Stiles,SSTILES,650.121.2034,2025-06-03,ST_CLERK,3200.0000, - ,123,50
139,John,Seo,JSEO,650.121.2019,2025-06-03,ST_CLERK,2700.0000, - ,123,50
140,Joshua,Patel,JPATEL,650.121.1834,2025-06-03,ST_CLERK,2500.0000, - ,123,50
198,Donald,OConnell,DOCONNEL,650.507.9833,2025-06-03,SH_CLERK,2600.0000, - ,124,50
199,Douglas,Grant,DGRANT,650.507.9844,2025-06-03,SH_CLERK,2600.0000, - ,124,50
200,Jennifer,Whalen,JWHALEN,515.123.4444,2025-06-03,AD_ASST,4400.0000, - ,101,10
201,Michael,Hartstein,MHARTSTE,515.123.5555,2025-06-03,MK_MAN,13000.0000, - ,100,20
202,Pat,Fay,PFAY,603.123.6666,2025-06-03,MK_REP,6000.0000, - ,201,20
203,Susan,Mavris,SMAVRIS,515.123.7777,2025-06-03,HR_REP,6500.0000, - ,101,40
204,Hermann,Baer,HBAER,515.123.8888,2025-06-03,PR_REP,10000.0000, - ,101,70
205,Shelley,Higgins,SHIGGINS,515.123.8080,2025-06-03,AC_MGR,12008.0000, - ,101,110
206,William,Gietz,WGIETZ,515.123.8181,2025-06-03,AC_ACCOUNT,8300.0000, - ,205,110
